City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Meulaboh,ID,2021-12-04 17:20:23,4.1363,96.1285,24.93,86,16,1.66
67,Nhulunbuy,AU,2021-12-04 17:20:24,-12.2333,136.7667,28.34,83,100,2.06
68,Santa Maria,BR,2021-12-04 17:17:01,-29.6842,-53.8069,31.81,37,75,3.14
69,Rawson,AR,2021-12-04 17:20:24,-43.3002,-65.1023,26.97,23,0,5.75
70,Jamestown,US,2021-12-04 17:20:24,42.097,-79.2353,6.12,66,40,4.92
71,Tumbi,TZ,2021-12-04 17:20:24,-5.0667,32.7333,27.29,31,96,1.46
72,Puerto Escondido,MX,2021-12-04 17:20:25,15.85,-97.0667,31.46,70,1,3.09
73,Lebu,CL,2021-12-04 17:20:25,-37.6167,-73.65,15.53,63,0,9.45
74,Yenagoa,NG,2021-12-04 17:20:25,4.9247,6.2642,29.58,65,92,2.84
75,Mosetse,BW,2021-12-04 17:20:26,-20.75,26.65,29.82,30,85,3.48
76,Longyearbyen,SJ,2021-12-04 17:19:06,78.2186,15.6401,-6.09,73,75,11.32
77,Fortuna,US,2021-12-04 17:17:54,40.5982,-124.1573,9.62,69,21,0.29
78,Hit,IQ,2021-12-04 17:20:26,33.6416,42.8251,14.31,29,100,1.8
79,Shingu,JP,2021-12-04 17:20:26,33.7333,135.9833,4.72,75,3,3.23
80,Karatuzskoye,RU,2021-12-04 17:20:27,53.6072,92.8667,-1.46,76,99,6.53
81,Galle,LK,2021-12-04 17:20:27,6.0367,80.217,26.62,80,51,1.7
82,Thoen,TH,2021-12-04 17:20:27,17.6129,99.2161,17.15,94,52,0.55
83,Yellowknife,CA,2021-12-04 17:15:43,62.456,-114.3525,-33.17,83,1,2.57
84,Manokwari,ID,2021-12-04 17:20:28,-0.8667,134.0833,25.82,85,99,1.46
85,Victoria,HK,2021-12-04 17:16:12,22.2855,114.1577,19.1,71,64,2.24
86,Flinders,AU,2021-12-04 17:20:28,-34.5833,150.8552,17.11,81,100,5.83
87,Jiangyou,CN,2021-12-04 17:20:28,31.7667,104.7167,9.9,66,15,1.92
88,College,US,2021-12-04 17:20:28,64.8569,-147.8028,-35.56,62,1,2.06
89,Labuhan,ID,2021-12-04 17:20:29,-6.8844,112.2051,25.59,86,100,6.42
90,Winnemucca,US,2021-12-04 17:19:25,40.973,-117.7357,1.03,69,1,1.54
91,Vila Velha,BR,2021-12-04 17:20:29,-20.3297,-40.2925,25.97,73,40,5.14
92,Dudinka,RU,2021-12-04 17:20:29,69.4058,86.1778,-36.68,99,98,1.66
93,Mahibadhoo,MV,2021-12-04 17:20:30,3.7833,72.9667,27.76,78,59,5.22
94,Erode,IN,2021-12-04 17:20:30,11.35,77.7333,23.96,91,62,1.46
95,Almaznyy,RU,2021-12-04 17:20:30,48.0448,40.045,3.08,97,100,5.51
96,Bindura,ZW,2021-12-04 17:21:31,-17.3019,31.3306,27.23,25,16,2.34
97,Tiksi,RU,2021-12-04 17:21:31,71.6872,128.8694,-29.47,97,100,1.7
98,New Norfolk,AU,2021-12-04 17:21:31,-42.7826,147.0587,6.72,64,67,1.17
99,Arcata,US,2021-12-04 17:19:36,40.8665,-124.0828,9.76,95,90,2.06
100,Santiago De Cuba,CU,2021-12-04 17:21:32,20.0247,-75.8219,29.06,65,40,4.12
101,Susanville,US,2021-12-04 17:21:32,40.4163,-120.653,0.91,93,1,0.0
102,Qaqortoq,GL,2021-12-04 17:21:32,60.7167,-46.0333,3.28,73,100,7.26
103,Sinnamary,GF,2021-12-04 17:21:32,5.3833,-52.95,25.13,90,100,1.98
104,Mar Del Plata,AR,2021-12-04 17:19:11,-38.0023,-57.5575,14.37,79,4,5.36
105,Chokurdakh,RU,2021-12-04 17:21:33,70.6333,147.9167,-39.84,100,87,1.58
106,Khatanga,RU,2021-12-04 17:21:33,71.9667,102.5,-29.53,98,100,3.6
