City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
77,Havelock,US,34.8791,-76.9013,17.2,79,95,0.45,overcast clouds
78,Madimba,TZ,-10.4,40.3333,25.16,89,100,2.94,moderate rain
79,Mar Del Plata,AR,-38.0023,-57.5575,17.71,78,11,7.15,few clouds
80,Narsaq,GL,60.9167,-46.05,-2.88,78,100,9.99,overcast clouds
81,Gandajika,CD,-6.75,23.95,19.75,98,100,1.52,overcast clouds
82,Mehamn,NO,71.0357,27.8492,-0.9,74,40,11.32,scattered clouds
83,Bengkulu,ID,-3.8004,102.2655,23.84,89,95,3.01,overcast clouds
84,Kuching,MY,1.55,110.3333,23.12,100,40,2.57,moderate rain
85,Surab,PK,28.4914,66.2585,3.84,43,0,3.65,clear sky
86,Airai,TL,-8.9266,125.4092,16.91,92,100,0.62,overcast clouds
87,Butaritari,KI,3.0707,172.7902,27.12,83,100,5.34,moderate rain
88,Limbang,MY,4.75,115.0,25.06,97,100,1.04,overcast clouds
89,Puerto Carreno,CO,6.189,-67.4859,31.63,47,72,4.88,broken clouds
90,Fivizzano,IT,44.2383,10.126,5.66,82,21,2.72,few clouds
91,Ballater,GB,57.0493,-3.0402,0.56,88,35,2.3,scattered clouds
92,Batagay,RU,67.6333,134.6333,-28.21,99,100,0.48,overcast clouds
93,Canico,PT,32.6333,-16.85,19.35,79,40,0.45,scattered clouds
94,Kemnay,GB,57.2357,-2.444,1.35,100,27,0.51,scattered clouds
95,Ribeira Grande,PT,38.5167,-28.7,17.81,72,74,3.37,broken clouds
96,Castro,BR,-24.7911,-50.0119,18.1,86,91,2.05,overcast clouds
97,Flinders,AU,-34.5833,150.8552,18.92,75,98,2.74,overcast clouds
98,Gondar,ET,12.6,37.4667,14.61,33,0,1.84,clear sky
99,Sal Rei,CV,16.1833,-22.9167,22.31,75,34,8.29,scattered clouds
100,Vila Franca Do Campo,PT,37.7167,-25.4333,17.89,84,41,1.47,scattered clouds
101,Codrington,AU,-38.2667,141.9667,17.85,49,99,3.76,overcast clouds
102,Wakkanai,JP,45.4094,141.6739,6.96,79,100,14.6,overcast clouds
103,Bambous Virieux,MU,-20.3428,57.7575,25.68,70,15,5.13,few clouds
104,Santa Cruz,BO,-17.8,-63.1667,25.7,73,75,3.09,broken clouds
105,Requena,ES,39.4883,-1.1004,6.6,74,33,6.01,scattered clouds
106,Morrope,PE,-6.5417,-80.0111,25.44,67,75,7.89,broken clouds
107,Geraldton,AU,-28.7667,114.6,17.23,82,1,4.12,clear sky
108,Pyshma,RU,56.9523,63.2513,-4.31,95,100,1.53,overcast clouds
109,Mala Vyska,UA,48.6431,31.6366,1.25,85,100,4.39,overcast clouds
110,Reo,BF,12.3167,-2.4667,26.29,12,6,3.9,clear sky
111,Henties Bay,NA,-22.116,14.2845,15.48,90,0,2.99,clear sky
112,Belogorsk,RU,50.9158,128.4611,-18.67,98,96,1.95,overcast clouds
113,Touros,BR,-5.1989,-35.4608,28.5,78,72,7.09,broken clouds
114,Severo-Yeniseyskiy,RU,60.3725,93.0408,-12.96,96,100,1.27,light snow
115,Teahupoo,PF,-17.8333,-149.2667,26.98,74,83,7.46,broken clouds
116,Tiksi,RU,71.6872,128.8694,-26.22,95,100,2.77,overcast clouds
